id,start,stop,event,isWarm,latitude,longitude,temperature,windSpeed,pressure,humidity,visibility,nebulosity,cloudHeight,moonPhase
491,  0,102,0,1,49.00,8.15,16.6, 8.0, 98930.0, 45.0,60000.0,, 800.0,  4.0
491,102,103,1,1,49.00,8.15,15.5, 3.0,100350.0, 40.0,55000.0, 90.0,1750.0,  8.0
492,  0, 73,1,0,49.00,8.15,17.0, 1.0,100760.0, 41.0, 8000.0,,, 98.0
493,  0, 77,1,0,49.00,8.15,16.5, 2.0,100590.0, 48.0,10370.0,,,  1.0
494,  0, 54,0,1,49.00,8.15, 4.6, 5.0, 99540.0, 87.0,18060.0,100.0, 450.0,100.0
494, 54, 55,1,1,49.00,8.15, 6.0, 2.0,100030.0, 66.0,21120.0, 90.0, 800.0,100.0
495,  0,105,0,1,49.00,8.15,15.4, 4.0, 99960.0, 48.0,52360.0,100.0,1250.0, 86.0
495,105,122,1,1,49.00,8.15,16.2, 2.0, 99680.0, 49.0,60000.0, 75.0,1250.0, 55.0
496,  0,  2,1,0,49.00,8.15, 8.7, 3.0, 99940.0, 63.0,47000.0,,, 97.0
497,  0, 99,0,1,49.00,8.15,10.9, 1.0, 99270.0, 92.0, 7220.0,100.0, 250.0, 18.0
497, 99,113,1,1,49.00,8.15,20.1, 1.0, 98060.0, 43.0,19660.0,,3420.0, 83.0
498,  0, 33,0,1,49.00,8.15,12.5, 6.0, 99420.0, 91.0,58500.0,100.0, 800.0, 42.0
498, 33, 38,1,1,49.00,8.15, 0.0, 0.0,100940.0,100.0,  760.0,101.0,  30.0, 89.0
499,  0,113,1,0,49.00,8.15,17.1, 4.0,100790.0, 31.0,30400.0,,6900.0, 83.0
500,  0, 44,1,0,49.00,8.15,10.8, 5.0, 99980.0, 51.0,17020.0,,, 73.0
501,  0, 58,1,0,49.00,8.15, 5.4,10.0,100480.0, 46.0,15050.0,,, 30.0
502,  0, 47,1,0,49.00,8.15,16.2, 2.0,100060.0, 64.0,46160.0,100.0, 250.0, 38.0
503,  0, 60,1,0,49.00,8.15, 5.2, 7.0,101110.0, 80.0,10280.0, 90.0, 450.0, 10.0
