dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.15468/xvv3x9	f3949c31-25a5-4592-a18f-a37504719ca4	Records of birds on the stationary observation points within the northern and southern Ukraine since 1987	Kostiushyn V, Marushchak O (2024). Records of birds on the stationary observation points within the northern and southern Ukraine since 1987. Version 1.1. Ukrainian Nature Conservation Group (NGO). Occurrence dataset. https://ukraine.ipt.gbif.no/resource?r=avesdatabasevkostiushyn1&v=1.1	162
10.15468/hn62xp	7109a109-028f-42af-a3ed-66174e2b67fa	CardObs : Observations naturalistes issues de l'outil CardObs-Données naturalistes de CHARBONNEAU Adrien		157
10.15468/dxg7qz	3180487b-ee8a-48c0-afd7-51a2575b7056	2013_Tour du Valat_1		153
10.15468/vqzepj	403cea9f-80d5-48f4-ae41-97cc9a157a62	Programme de rééquilibrage du lit de la Loire entre Les Ponts de Cé et Nantes - Données naturalistes brutes - Programme de rééquilibrage du lit de la Loire		152
10.15468/xgytkx	b583b08c-e016-4f1d-b0a6-44a1ec12620c	Mutualisation des données naturalistes pour le rapportage Natura2000 en 2017-Synthèse 10x10km de la faune sauvage des Directives Oiseaux et Habitats-Faune-Flore de 2013 à 2017		149
10.15468/xywy7g	bd067a4c-05b8-4def-925c-60ce83c01891	2018_CEN PACA_1		148
10.15468/72agdc	322a97cc-d947-4e90-97d4-3922e61b7e04	2020_Tour du Valat_1		147
10.15468/jujcgr	63f077c9-96a0-49de-b3ea-2aa565ee1098	Swiss National Breeding Bird Databank	Wechsler S, Volet B, Schmid H (2023). Swiss National Breeding Bird Databank. Version 1.1. Swiss National Biodiversity Data and Information Centres – infospecies.ch. Occurrence dataset https://doi.org/10.15468/jujcgr accessed via GBIF.org on 2023-12-20.	147
10.15468/hptjhb	740b0948-40fd-4a7f-9320-b7fbb6828df7	Records of fauna of the territory of Pyriatyn National Nature Park	Protsenko Y, Singaevsky E, Bezuhlyi S, Kazannyk V, Nazarenko V, Burian Z, Podobaylo A, Nerush R (2025). Records of fauna of the territory of Pyriatyn National Nature Park. Version 1.3. Ukrainian Nature Conservation Group (NGO). Occurrence dataset. https://ukraine.ipt.gbif.no/resource?r=pyriatynnnpinsects1&v=1.3	146
10.15468/npx9ow	2fd17f41-80ef-4c15-ac48-63ca89f4bb16	Coordinated Waterbird Counts	Brooks M (2015): Coordinated Waterbird Counts. v1.150. FitzPatrick Institute of African Ornithology. Dataset/Occurrence. http://aduipt.uct.ac.za:8080/ipt-2.3.2/resource?r=cwac&v=1.150	144
10.15468/2vgc5v	cbe2e87c-60f2-4a5d-bd6a-e9f7ac9a5cac	Suivis ornithologiques Domaine départemental de Lindre-Suivis ornithologiques du Domaine de départemental de Lindre		142
10.15468/mretyw	57bd9268-2f4a-4e87-93a2-bc1c2e6656b1	Suivi naturaliste dans l'objectif d'un projet de classement en Réserve Naturelle Régionale du site de la Cabane de Moins (17)-Suivi des oiseaux - Cabane de Moins		137
10.15468/4uqfbq	8360b042-f762-11e1-a439-00145eb45e9a	Estación Biológica de Doñana - CSIC, Aves	Arrizabalaga B (2024). Estación Biológica de Doñana - CSIC, Aves. Estación Biológica de Doñana (CSIC). Occurrence dataset https://doi.org/10.15468/4uqfbq accessed via GBIF.org on 2024-11-14.	137
10.15468/gnmz6j	647cbad6-9cec-4b4c-96e9-76d170f9a039	Transfert de fichier de données naturalistes d'observateurs indépendants à l'Observatoire FAUNA-Données naturalistes opportunistes de Sandy Barberis		136
10.15468/abmycz	75085267-1991-4313-9075-6a12e821a51a	CA des structures-Observations opportunistes de la structure : CPIE Boucles de la Marne		136
10.15468/448q55	f5e24555-1d1a-435b-ba84-34817e0d1853	Observations naturalistes indépendantes d'origine privée partagées sur la base de données Kollect Nouvelle-Aquitaine-Observations faunistiques de Didier VERGER		135
10.15468/vfqt4j	7665ac27-6088-4499-ace6-7ce64d39ac7b	Observations de la RNR du Poiré-sur-Velluire-Suivi de l'avifaune hivernante et migratrice RNR Poiré		134
10.15468/jca5lo	02d1e772-54ee-4767-b4b8-c35f0c7270ba	NBIS Records to December 2016	Norfolk Biodiversity Information Service ([Insert download year]). NBIS Records to December 2016. Occurrence dataset on the NBN Atlas	130
10.15468/w4pz93	1ac5a87d-2256-49b5-af3e-88cf2f651c1d	Cambridgeshire and Peterborough Environmental Records Centre data		125
10.15468/pp2b7r	24bce995-27e1-40cd-99c4-ff550c21ebb5	Mutualisation des données naturalistes pour le rapportage Natura2000 en 2017-Synthèse 10x10km de la faune sauvage des Directives Oiseaux et Habitats-Faune-Flore de 2013 à 2017		124
